Unnamed: 0,school_year,school_id,cluster,remoteness_index,total_recieving_cct,cct_percentage,comments,original_water_boolean,nowater,original_internet_boolean,no_internet,noelec,original_electricity_boolean,instructional__rooms_,student_classroom_ratio,total_teachers,student_teacher_ratio,Lat,Lon,school_name,Region,division,province,municipality,district,total_female,total_male,total_enrollment,nat_score
7653,2016,108798,Accessible,-626.2,57,35.8490566,,1,0,0,1,0,1,4,39.75,7,22.71428571,13.896535,122.271566,Bebito ES,Region IV-A,Quezon,Quezon,Lopez,Lopez East,75,84,159,9
43031,2017,319115,2,-601.8,0,0,Zero Teachers; Student-Teacher Ratio replaced with the total enrollemnt,0,1,1,0,0,1,6,15.83333333,7,13.57142857,17.268122,121.1579144,Tinglayan National High School,CAR,Kalinga,Kalinga,Tinglayan,Lone District,39,56,95,49
41947,2015,302991,Accessible,-675.6,9,1.25,Zero Teachers; Student-Teacher Ratio replaced with the total enrollemnt,0,1,1,0,0,-999,11,65.45454545,19,37.89473684,10.3875,123.9555556,Pulpogan NHS,Region VII,Cebu,Cebu,Consolacion,Consolacion,351,351,720,3
11589,2015,110220,Accessible,-566.8,13,2.777777778,,1,0,0,1,0,1,13,36,25,18.72,12.883198,120.82299,San Vicente ES,Region IV-B,Occidental Mindoro,Occidental Mindoro,Sablayan,Sablayan North,249,286,468,51
37878,2015,300170,Accessible,-656.8,0,0,,1,0,0,1,0,1,11,10.54545455,7,16.57142857,15.84995,120.39985,BAYOYONG NHS,Region I,"Pangasinan I, Lingayen",Pangasinan,Basista,Basista,58,58,116,55
36081,2016,136205,Accessible,-631.5,16,18.3908046,,0,1,0,1,0,1,6,14.5,5,17.4,16.87611111,120.8875,Binaka ES,CAR,Mt. Province,Mountain Province,Bauko,Bauko II,35,52,87,30
25993,2016,124826,Accessible,-219.8,105,59.65909091,,0,1,0,1,1,0,7,25.14285714,7,25.14285714,7.723069,122.122993,Matiag ES,Region IX,Zamboanga del Norte,Zamboanga Del Norte,Siocon,Siocon,95,81,176,59
32109,2016,130895,Accessible,-710.7,0,0,,1,0,0,1,0,1,8,32.875,8,32.875,6.389822,124.86847,Tubeng ES,Region XII,South Cotabato,South Cotabato,Tupi,Tupi North,134,129,263,15
11090,2016,110359,Accessible,-506.2,61,17.68115942,,1,0,0,1,0,1,11,31.36363636,10,34.5,12.772319,121.392665,Malu Elementary School,Region IV-B,Oriental Mindoro,Oriental Mindoro,Bansud,Bansud,148,197,345,0
22527,2016,124092,Accessible,-528.6,0,0,,0,1,0,1,1,0,2,10.5,2,10.5,12.246747,124.687901,Gasdo Elementary School,Region VIII,Calbayog City,Western Samar,Calbayog City,Calbayog District V,5,16,21,90
13136,2015,112227,Accessible,-745.7,1,0.20746888,,1,0,0,1,0,1,15,32.13333333,15,32.13333333,14.109268,123.007113,Hinipaan Elementary School,Region V,Camarines Norte,Camarines Norte,Mercedes,Mercedes,265,293,482,95
42181,2017,304661,2,-795.53,33,0.624526874,,1,0,0,1,0,1,65,81.29230769,170,31.08235294,7.008179442,125.088074,Kidapawan City National High School,Region XII,Kidapawan City,North Cotabato,City Of Kidapawan (Capital),2nd District,2792,2492,5284,33
10509,2017,110942,1,2906.2,16,7.582938389,,1,0,0,1,1,0,7,30.14285714,7,30.14285714,11.774826,120.001827,Halsey Elementary School,Region IV-B,Palawan,Palawan,Culion,1st District,105,106,211,98
37377,2015,136499,Accessible,-735.2,0,0,,1,0,1,0,0,1,10,65.7,22,29.86363636,14.645151,121.021697,Bayanihan Elementary School,NCR,Quezon City,Ncr,Quezon City,School District III,394,366,657,87
31307,2017,208018,2,-565.8,0,0,,1,0,0,1,0,1,7,16.28571429,6,19,6.244359,125.28994,Saliluk L. Macantal ES,Region XII,Sarangani,Sarangani,Alabel (Capital),Lone District,49,65,114,96
33165,2015,132131,Accessible,-730.3,3,4.6875,,1,0,0,1,0,1,6,10.66666667,5,12.8,9.84819,126.046,Montserrat ES,CARAGA,Siargao,Surigao Del Norte,Dapa,Dapa East,49,23,64,3
29747,2015,128675,Accessible,-690.6,11,2.644230769,,1,0,0,1,0,1,12,34.66666667,12,34.66666667,7.646669,125.674632,Mabantao ES,Region XI,Davao del Norte,Davao Del Norte,Kapalong,Kapalong East,228,252,416,60
24482,2015,191518,Accessible,-760.3,20,9.389671362,,1,0,0,1,0,1,4,53.25,8,26.625,11.14837778,124.9882139,Tacuranga Elementary School,Region VIII,Leyte,Leyte,Palo,Palo II,115,130,213,28
9312,2016,108091,Accessible,-760.3,356,10.22988506,,0,1,1,0,0,1,51,68.23529412,89,39.1011236,14.41685275,120.8560147,Rosario ES,Region IV-A,Cavite,Cavite,Rosario,Rosario,1689,1791,3480,66
14308,2015,113706,Accessible,-407.4,147,60.24590164,,1,0,0,1,1,0,7,34.85714286,7,34.85714286,12.20114517,123.6519095,San Carlos ES,Region V,Masbate,Masbate,Milagros,Milagros East,134,137,244,38
7668,2017,109348,2,-675.6,1,0.128700129,,1,0,0,1,0,1,17,45.70588235,21,37,14.673251,121.242294,Calawis ES,Region IV-A,Antipolo City,Rizal,City Of Antipolo,2nd District,370,407,777,49
15376,2016,117592,Accessible,-767.95,119,16.48199446,,1,0,1,0,0,1,23,31.39130435,23,31.39130435,10.739145,122.579869,Balabago ES,Region VI,Iloilo City,Iloilo,Iloilo City (Capital),Jaro,366,356,722,86
39879,2016,301537,Accessible,-742.95,0,0,,1,0,1,0,0,1,8,29.625,5,47.4,13.265876,121.917283,Buenavista NHS - Daykitin Annex,Region IV-B,Marinduque,Marinduque,Buenavista,Buenavista,0,0,237,45
8720,2015,107765,Accessible,-770.3,67,13.45381526,,1,0,1,0,0,1,15,33.2,14,35.57142857,14.137796,121.089579,Malaking Pulo ES,Region IV-A,Tanauan City,Batangas,City Of Tanauan,Tanauan City West,256,306,498,53
538,2015,100787,Accessible,-752.55,1,0.595238095,,1,0,1,0,0,1,9,18.66666667,10,16.8,17.561142,120.402222,Cabaroan ES (Cabaruan-Cabalangegan ES),Region I,Vigan City,Ilocos Sur,City Of Vigan (Capital),District III,80,107,168,21
43573,2015,304333,Accessible,-566.8,340,48.99135447,,1,0,0,1,0,1,19,36.52631579,23,30.17391304,7.439784,126.543399,San Luis NHS,Region XI,Davao Oriental,Davao Oriental,Caraga,Caraga North,334,334,694,43
30057,2017,130995,2,-770.2,6,1.474201474,,1,0,0,1,0,1,16,25.4375,17,23.94117647,6.680656,124.56366,Ala Central School,Region XII,Sultan Kudarat,Sultan Kudarat,Esperanza,2nd District,197,210,407,55
10783,2017,110022,2,-606.2,43,22.39583333,,1,0,1,0,0,1,8,24,7,27.42857143,13.259161,122.018456,Makawayan ES,Region IV-B,Marinduque,Marinduque,Torrijos,Lone District,81,111,192,37
44713,2015,305167,Accessible,-675.6,6,2.352941176,,1,0,0,1,0,1,12,21.25,14,18.21428571,16.711698,121.06459,Asipulo NHS,CAR,Ifugao,Ifugao,Asipulo,Asipulo,161,161,255,34
22051,2016,123147,Accessible,-466.8,2,2.597402597,,1,0,0,1,0,1,6,12.83333333,3,25.66666667,12.53224621,125.0953623,Campedico ES,Region VIII,Northern Samar,Northern Samar,Palapag,Palapag I,42,35,77,92
33343,2017,133277,2,-755.2,30,9.230769231,,0,1,0,1,0,1,8,40.625,9,36.11111111,0,0,Barimbingan Central ES,ARMM,Lanao del Sur - I,Lanao Del Sur,Ditsaan-Ramain,1st District,170,155,325,62
41336,2016,311013,Accessible,-660.55,63,37.5,,1,0,0,1,0,1,9,18.66666667,9,18.66666667,10.677612,122.235554,Supt. Arsenio M. Napud MNHS,Region VI,Iloilo,Iloilo,Miagao,Miagao East,0,0,168,45
16663,2015,117027,Accessible,-750.6,108,43.72469636,,1,0,0,1,0,1,10,24.7,7,35.28571429,10.8477,122.985703,Jose D. Cuaycong ES,NIR,Negros Occidental,Negros Occidental,Enrique B. Magalona (Saravia),Enrique B. Magalona,153,133,247,6
14637,2015,114095,Accessible,-750.3,0,0,,1,0,0,1,0,1,13,27.07692308,11,32,12.895511,124.042721,Sta. Cruz ES,Region V,Sorsogon,Sorsogon,Casiguran,Casiguran,186,216,352,44
15970,2015,115651,Accessible,-675.6,26,30.23255814,,1,0,0,1,0,1,7,12.28571429,5,17.2,11.45333333,122.7822222,Catmon Primary School,Region VI,Capiz,Capiz,Panitan,Panit-An,49,47,86,71
3121,2015,103989,Accessible,-515.6,23,25.84269663,,1,0,0,1,0,1,5,17.8,4,22.25,0,0,Dulli ES,Region II,Nueva Vizcaya,Nueva Vizcaya,Ambaguio,Ambaguio,60,50,89,46
42901,2017,305067,2,-358,0,0,,1,0,0,1,0,1,11,29.09090909,7,45.71428571,0,0,Tawi Tawi West Coast Agricultural high school,ARMM,Tawi-Tawi,Tawi-Tawi,Languyan,Lone District,167,153,320,89
39298,2015,301514,Accessible,-758.95,0,0,,1,0,1,0,0,1,47,48.19148936,77,29.41558442,14.21566579,121.1860962,Calamba Bayside National High School,Region IV-A,Calamba City,Laguna,City Of Calamba,Calamba City East II,1233,1233,2265,29
33973,2017,133285,2,-646.2,256,86.48648649,,1,0,0,1,0,1,3,98.66666667,6,49.33333333,0,0,Kapai ES,ARMM,Lanao del Sur - I,Lanao Del Sur,Kapai,1st District,148,148,296,27
22014,2015,122310,Accessible,-650.9,18,27.69230769,,1,0,0,1,0,1,3,21.66666667,4,16.25,10.308333,124.945264,Camansi ES,Region VIII,Southern Leyte,Southern Leyte,Tomas Oppus,Tomas Oppus,43,33,65,58
27903,2017,127384,2,-805,34,23.28767123,,1,0,1,0,0,1,6,24.33333333,7,20.85714286,8.344602,123.80943,Petianan ES,Region X,Misamis Occidental,Misamis Occidental,Don Victoriano Chiongbian,2nd District,63,83,146,36
34233,2016,134025,Accessible,-725.6,57,16.10169492,,0,1,0,1,0,1,10,35.4,8,44.25,0,0,Dadtumeg ES,ARMM,Maguindanao II,Maguindanao,Kabuntalan (Tumbao),Kabuntalan South,179,175,354,44
19188,2015,118235,Accessible,-562.2,95,46.11650485,,1,0,0,1,0,1,9,22.88888889,7,29.42857143,9.974134,124.211462,Cantubod ES,Region VII,Bohol,Bohol,Danao,Danao,99,132,206,93
32539,2015,132539,Accessible,-156,141,71.21212121,,1,0,0,1,0,1,10,19.8,6,33,9.7,125.583336,Cawilan ES,CARAGA,Surigao del Norte,Surigao Del Norte,Tagana-An,Tagana-An,95,125,198,3
38544,2017,301198,2,-660.9,17,2.309782609,,1,0,0,1,0,1,24,30.66666667,28,26.28571429,14.107962,120.82809,Kaytitinga NHS,Region IV-A,Cavite,Cavite,Alfonso,7th District,367,369,736,56
14789,2015,114406,Accessible,-603.55,98,41.35021097,,0,1,0,1,0,1,8,29.625,6,39.5,13.068007,124.140611,Talisayan ES,Region V,Sorsogon,Sorsogon,Prieto Diaz,Prieto Diaz,133,138,237,62
13177,2017,112800,2,-600.6,121,61.4213198,,0,1,0,1,0,1,7,28.14285714,7,28.14285714,13.483286,123.202007,Magadap Elementary School,Region V,Camarines Sur,Camarines Sur,Minalabac,2nd District,86,111,197,59
9185,2016,109388,Accessible,-710.25,27,5.378486056,,1,0,0,1,0,1,14,35.85714286,16,31.375,14.41694444,121.2161111,Pipindan ES,Region IV-A,Rizal,Rizal,Binangonan,Binangonan II,248,254,502,41
34096,2015,134870,Extremely remote,4587,0,0,,1,0,0,1,1,0,3,52.66666667,5,31.6,5.409493,120.588348,Bubuan Elementary School,ARMM,Tawi-Tawi,Tawi-Tawi,South Ubian,East South Ubian,84,92,158,67
16393,2016,115714,Accessible,-690.9,0,0,,1,0,0,1,0,1,7,25.71428571,9,20,11.42027778,122.9744444,Goce ES,Region VI,Capiz,Capiz,President Roxas,President Roxas,79,101,180,97
5003,2016,104677,Accessible,-756.3,0,0,,1,0,0,1,0,1,7,18.71428571,7,18.71428571,14.64176271,120.5790307,Camachile ES,Region III,Bataan,Bataan,Orion,Orion,56,75,131,4
23595,2016,124237,Accessible,-757.5,12,12.76595745,,0,1,0,1,0,-999,5,18.8,6,15.66666667,11.336099,124.969946,Old Kawayan Elementary School,Region VIII,Tacloban City,Leyte,Tacloban City (Capital),District Learning Center VI,42,52,94,95
15821,2016,115892,Accessible,-752.95,160,35.24229075,,1,0,0,1,0,1,15,30.26666667,14,32.42857143,10.47237999,122.5850134,Calaya ES,Region VI,Guimaras,Guimaras,Nueva Valencia,Nueva Valencia North,218,236,454,25
41211,2015,302668,Accessible,-676.9,255,33.68560106,,1,0,1,0,0,1,37,20.45945946,41,18.46341463,10.235416,122.946121,Negros Occ. NAISHI ( under the Reg'l Office),Region VI,Negros Occidental,Negros Occidental,Hinigaran,Hinigaran II,381,381,757,21
18674,2015,119032,Accessible,-471.5,0,0,,1,0,0,1,0,1,6,19.33333333,6,19.33333333,10.520084,123.793037,Bayong ES,Region VII,Cebu,Cebu,Balamban,Balamban II,66,64,116,15
12819,2017,114616,2,-717.95,62,13.13559322,,1,0,1,0,0,1,14,33.71428571,13,36.30769231,13.375362,123.796025,Hacienda ES,Region V,Tabaco City,Albay,City Of Tabaco,1st District,234,238,472,42
2954,2015,103247,Accessible,-636.2,5,0.418410042,,1,0,0,1,0,1,39,30.64102564,35,34.14285714,16.67316667,121.4644333,Cordon South CS-Main,Region II,Isabela,Isabela,Cordon,Cordon South,642,735,1195,27
13525,2015,114378,Accessible,-715.6,72,40.22346369,,1,0,0,1,0,1,8,22.375,6,29.83333333,12.94861111,123.7625,Malbog ES,Region V,Sorsogon,Sorsogon,Pilar,Pilar II,94,106,179,42
21049,2017,122518,2,-506.8,21,28.76712329,,1,0,0,1,0,1,3,24.33333333,4,18.25,10.9843,125.6512,Banaag Elementary School,Region VIII,Eastern Samar,Eastern Samar,Guiuan,Lone District,34,39,73,24
24367,2017,125274,2,-715.6,0,0,,1,0,0,1,0,1,9,26.44444444,9,26.44444444,8.089397,123.505161,Anatalio T. Lobitana Elem.School-(formerly Sudlon ES,Region IX,Zamboanga del Sur,Zamboanga Del Sur,Molave,1st District,120,118,238,24
14414,2015,113295,Accessible,-676.2,0,0,,1,0,0,1,0,1,7,7,4,12.25,13.641184,124.300858,San Marcos ES,Region V,Catanduanes,Catanduanes,San Miguel,San Miguel North,29,28,49,100
